step,episode,ep_reward,ep_length,ep_kills,ep_max_x,died
14287,559,0.25,21,0,107.0,1
14308,560,4.22,21,1,165.0,1
14320,561,0.26,12,0,107.2,1
14341,562,3.38,21,1,151.8,1
14362,563,-1.56,21,1,79.9,1
14383,564,1.53,21,0,125.5,1
14404,565,0.28,21,0,110.6,1
14425,566,-0.78,21,0,91.9,1
14446,567,-5.76,21,0,28.6,1
14465,568,-4.09,19,0,54.1,1
14523,569,14.29,58,1,326.7,1
14551,570,-0.96,28,0,105.4,1
14572,571,8.43,21,0,227.2,1
14592,572,6.63,20,0,201.1,1
14613,573,-3.31,21,0,54.3,1
14634,574,2.31,21,1,136.3,1
14646,575,-4.29,12,0,51.6,1
14667,576,-3.60,21,1,49.0,1
14688,577,-4.56,21,1,35.5,1
14722,578,0.66,34,1,112.3,1
14784,579,16.08,62,1,339.2,1
14821,580,1.19,37,0,120.6,1
14842,581,4.11,21,1,162.5,1
14863,582,-0.10,21,0,104.1,1
14884,583,-6.42,21,1,28.9,1
14905,584,-3.57,21,0,53.3,1
14924,585,-0.84,19,1,89.9,1
14945,586,2.09,21,1,133.1,1
14987,587,0.04,42,1,103.8,1
15014,588,-1.70,27,0,78.0,1
15048,589,-5.02,34,1,59.4,1
15060,590,-2.53,12,0,73.6,1
15073,591,-4.50,13,0,37.7,1
15094,592,7.56,21,0,214.2,1
15107,593,-3.70,13,0,48.6,1
15120,594,1.41,13,0,124.0,1
15141,595,7.11,21,1,207.9,1
15187,596,18.59,46,1,376.1,1
15208,597,-4.25,21,1,40.5,1
15221,598,-0.46,13,0,96.3,1
15242,599,-6.85,21,0,10.7,1
15262,600,-0.94,20,0,90.5,1
15356,601,48.20,94,4,824.5,1
15377,602,-2.31,21,0,69.1,1
15398,603,-7.35,21,0,2.2,1
15411,604,-3.84,13,0,53.9,1
15431,605,-8.13,20,0,0.0,1
15452,606,1.18,21,0,120.5,1
15473,607,-0.89,21,0,100.4,1
15485,608,-4.25,12,0,41.5,1
15506,609,-3.80,21,1,46.2,1
15527,610,-5.08,21,0,62.3,1
15548,611,-0.57,21,0,94.7,1
15581,612,-3.20,33,0,69.0,1
15602,613,-4.49,21,0,38.0,1
15623,614,-6.05,21,0,45.3,1
15672,615,-7.41,49,1,23.2,1
15693,616,-7.21,21,0,13.8,1
15713,617,-3.27,20,0,56.2,1
15726,618,-8.13,13,0,4.9,1
15747,619,-4.60,21,0,37.0,1
15768,620,-1.34,21,0,86.2,1
15825,621,-1.24,57,1,84.1,1
15844,622,-8.00,19,1,5.5,1
15865,623,-3.65,21,0,50.3,1
15884,624,-6.67,19,0,46.8,1
15905,625,-7.19,21,0,5.1,1
15939,626,1.70,34,1,140.1,1
15960,627,-5.76,21,0,19.2,1
15980,628,-3.78,20,1,46.8,1
16017,629,-7.34,37,1,5.2,1
16172,630,12.07,155,2,278.5,1
16183,631,-5.05,11,0,28.8,1
16204,632,-1.98,21,0,73.9,1
16224,633,-3.73,20,1,47.2,1
16245,634,-2.00,21,0,73.6,1
